Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss
"[20, 20]",8e-06,0.0001,0.99,0.380196±0.007476,0.512423±0.027539
"[30, 30]",8e-06,0.0001,0.99,0.362764±0.004088,0.518389±0.021714
"[20, 20]",1e-05,0.0001,0.97,0.455467±0.007239,0.525239±0.020687
"[20, 20]",3e-05,0.0001,0.97,0.358886±0.005152,0.525453±0.029797
"[30, 30]",1e-05,0.0001,0.97,0.457098±0.007328,0.530889±0.027384
"[30, 30]",8e-06,0.0003,0.99,0.384136±0.006828,0.533705±0.017495
"[20, 20]",3e-05,0.0003,0.95,0.421128±0.002319,0.533814±0.017683
"[20, 20]",5e-05,0.0001,0.95,0.360218±0.003784,0.536552±0.013592
"[20, 20]",8e-06,0.0001,0.97,0.478658±0.010656,0.536857±0.039848
"[30, 30]",3e-05,0.0001,0.97,0.328016±0.007180,0.537941±0.027185
"[30, 30]",8e-06,0.0001,0.97,0.474739±0.009178,0.538256±0.023852
"[20, 20]",3e-05,0.0001,0.95,0.413847±0.009934,0.540538±0.043067
"[30, 30]",3e-05,0.0003,0.95,0.414502±0.011960,0.542748±0.029513
"[20, 20]",3e-05,0.0003,0.97,0.377162±0.007516,0.542889±0.028921
"[30, 30]",1e-05,0.0001,0.99,0.332986±0.011915,0.543210±0.026652
"[30, 30]",3e-05,0.0005,0.95,0.434546±0.005291,0.543625±0.019506
"[20, 20]",8e-06,0.0003,0.99,0.396746±0.010529,0.544196±0.021375
"[20, 20]",3e-05,0.0005,0.95,0.435511±0.007029,0.544299±0.018587
"[30, 30]",1e-05,0.0003,0.97,0.461342±0.009986,0.545255±0.027278
"[20, 20]",1e-05,0.0001,0.99,0.359210±0.010476,0.545335±0.026632
"[20, 20]",1e-05,0.0005,0.97,0.477055±0.006712,0.546352±0.032448
"[30, 30]",3e-05,0.0001,0.95,0.391278±0.009258,0.547148±0.027570
"[30, 30]",1e-05,0.0005,0.97,0.474607±0.004789,0.547410±0.033914
"[20, 20]",8e-06,0.0003,0.97,0.492148±0.005832,0.547549±0.054124
"[30, 30]",8e-06,0.0003,0.97,0.479882±0.007220,0.551153±0.015709
"[30, 30]",1e-05,0.0001,0.95,0.497719±0.011599,0.551193±0.029334
"[20, 20]",1e-05,0.0003,0.97,0.475388±0.008546,0.552580±0.044790
"[20, 20]",1e-05,0.0001,0.95,0.507153±0.013713,0.553258±0.032604
"[30, 30]",3e-05,0.0003,0.97,0.361651±0.006422,0.554645±0.018941
"[20, 20]",3e-05,0.0005,0.97,0.396616±0.003806,0.554777±0.011789
"[20, 20]",8e-06,0.0005,0.99,0.413246±0.006714,0.554918±0.017133
"[30, 30]",8e-06,0.0005,0.97,0.491171±0.007657,0.555168±0.027147
"[20, 20]",5e-05,0.0005,0.95,0.396132±0.004124,0.555831±0.030352
"[20, 20]",5e-05,0.0003,0.95,0.383150±0.009670,0.556552±0.019412
"[30, 30]",1e-05,0.0003,0.95,0.505664±0.007542,0.556910±0.055063
"[20, 20]",1e-05,0.0003,0.99,0.375855±0.005015,0.561062±0.025438
"[30, 30]",1e-05,0.0003,0.99,0.351712±0.015486,0.562015±0.023611
"[30, 30]",5e-05,0.0003,0.95,0.354856±0.005106,0.562269±0.055559
"[30, 30]",5e-05,0.0001,0.95,0.336729±0.011219,0.563899±0.079549
"[20, 20]",8e-06,0.0005,0.97,0.499076±0.008672,0.564802±0.033762
"[30, 30]",8e-06,0.0005,0.99,0.400707±0.002650,0.566419±0.033128
"[30, 30]",8e-06,0.0001,0.95,0.521469±0.004829,0.570528±0.027456
"[20, 20]",1e-05,0.0003,0.95,0.518597±0.010763,0.571513±0.035310
"[30, 30]",1e-05,0.0005,0.95,0.514418±0.003726,0.573212±0.043618
"[30, 30]",8e-06,0.0003,0.95,0.534042±0.016536,0.577898±0.044857
"[20, 20]",1e-05,0.0005,0.95,0.524892±0.005333,0.580127±0.040859
"[20, 20]",8e-06,0.0001,0.95,0.539725±0.011030,0.580323±0.032510
"[20, 20]",8e-06,0.0005,0.95,0.542767±0.016671,0.581390±0.025026
"[30, 30]",5e-05,0.0005,0.95,0.375086±0.014789,0.581530±0.022034
"[20, 20]",1e-05,0.0005,0.99,0.397498±0.006429,0.583172±0.024261
"[20, 20]",5e-05,0.0001,0.97,0.300388±0.005958,0.584089±0.027267
"[30, 30]",1e-05,0.0005,0.99,0.375008±0.005233,0.589015±0.019552
"[20, 20]",8e-06,0.0003,0.95,0.546087±0.016638,0.592888±0.043922
"[30, 30]",3e-05,0.0005,0.97,0.382094±0.006988,0.595975±0.045469
"[30, 30]",8e-06,0.0005,0.95,0.545996±0.012338,0.597850±0.036817
"[30, 30]",5e-05,0.0003,0.97,0.294407±0.006224,0.599484±0.040763
"[20, 20]",5e-05,0.0005,0.97,0.350530±0.007790,0.599588±0.041861
"[30, 30]",5e-05,0.0001,0.97,0.256800±0.010791,0.614936±0.031699
"[20, 20]",5e-05,0.0003,0.97,0.321166±0.012895,0.618425±0.041088
"[30, 30]",5e-05,0.0005,0.97,0.330388±0.007170,0.637160±0.023543
"[20, 20]",3e-05,0.0001,0.99,0.233852±0.007045,0.648293±0.037192
"[20, 20]",3e-05,0.0005,0.99,0.313122±0.007597,0.663561±0.033949
"[30, 30]",3e-05,0.0001,0.99,0.173356±0.006635,0.695038±0.042858
"[30, 30]",3e-05,0.0003,0.99,0.226813±0.007376,0.700528±0.050064
"[20, 20]",3e-05,0.0003,0.99,0.277966±0.007604,0.708683±0.020954
"[20, 20]",5e-05,0.0001,0.99,0.196117±0.008665,0.727508±0.041458
"[30, 30]",3e-05,0.0005,0.99,0.269476±0.006468,0.733236±0.044288
"[20, 20]",5e-05,0.0003,0.99,0.245349±0.006199,0.735370±0.052707
"[30, 30]",5e-05,0.0001,0.99,0.131076±0.007547,0.755965±0.019906
"[30, 30]",5e-05,0.0003,0.99,0.182999±0.004722,0.781207±0.042414
"[20, 20]",5e-05,0.0005,0.99,0.290456±0.010891,0.809483±0.089717
"[30, 30]",5e-05,0.0005,0.99,0.226773±0.003951,0.819684±0.026325
