Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss,Test Loss
"[100, 100]",0.005,1e-05,0.99,0.240354±0.022866,0.376005±0.114942,0.299778
"[120, 120]",0.005,1e-05,0.99,0.228379±0.017040,0.377914±0.113950,0.28717
"[80, 80]",0.005,1e-05,0.99,0.229742±0.012732,0.403911±0.112386,0.32198
"[100, 100]",0.005,6e-05,0.99,0.262649±0.010262,0.405165±0.114393,0.329783
"[60, 60]",0.005,1e-05,0.99,0.225919±0.012165,0.408316±0.131214,0.309588
"[60, 60]",0.005,6e-05,0.99,0.272596±0.017618,0.427600±0.127636,0.366189
"[120, 120]",0.005,6e-05,0.99,0.264445±0.020927,0.427867±0.132617,0.318912
"[100, 100]",0.005,0.0001,0.99,0.283454±0.010641,0.429065±0.110451,0.351382
"[80, 80]",0.005,6e-05,0.99,0.271207±0.035756,0.430578±0.092322,0.328743
"[80, 80]",0.005,0.0001,0.99,0.281862±0.010672,0.434372±0.086203,0.352286
"[60, 60]",0.005,0.0001,0.99,0.313130±0.035522,0.476019±0.120464,0.399746
"[120, 120]",0.005,0.0001,0.99,0.293417±0.011307,0.476870±0.153387,0.344128
"[120, 120]",0.001,1e-05,0.99,0.448986±0.018971,0.591227±0.087217,0.463605
"[120, 120]",0.001,6e-05,0.99,0.460387±0.018893,0.602636±0.087203,0.4752
"[120, 120]",0.001,0.0001,0.99,0.469489±0.018830,0.611745±0.087191,0.484459
"[120, 120]",0.005,1e-05,0.9,0.508486±0.017597,0.630595±0.100547,0.509877
"[120, 120]",0.005,6e-05,0.9,0.516815±0.017585,0.638927±0.100556,0.518266
"[120, 120]",0.005,0.0001,0.9,0.523473±0.017576,0.645587±0.100563,0.524972
"[120, 120]",0.0006,1e-05,0.99,0.575994±0.012438,0.701229±0.095649,0.583263
"[120, 120]",0.0006,6e-05,0.99,0.585590±0.012434,0.710825±0.095630,0.592992
"[100, 100]",0.005,1e-05,0.9,0.591210±0.019243,0.713646±0.115791,0.581707
"[120, 120]",0.0006,0.0001,0.99,0.593257±0.012431,0.718492±0.095615,0.600765
"[100, 100]",0.005,6e-05,0.9,0.598624±0.019237,0.721050±0.115786,0.589218
"[100, 100]",0.005,0.0001,0.9,0.604549±0.019234,0.726968±0.115782,0.595222
"[100, 100]",0.001,1e-05,0.99,0.574051±0.022015,0.728605±0.096162,0.589686
"[100, 100]",0.001,6e-05,0.99,0.584848±0.021921,0.739386±0.096130,0.600768
"[80, 80]",0.005,1e-05,0.9,0.614237±0.021980,0.744828±0.121218,0.611346
"[100, 100]",0.001,0.0001,0.99,0.593468±0.021847,0.747995±0.096105,0.609616
"[80, 80]",0.005,6e-05,0.9,0.620884±0.021962,0.751471±0.121218,0.618084
"[60, 60]",0.001,1e-05,0.99,0.600655±0.020363,0.751743±0.099852,0.622393
"[80, 80]",0.005,0.0001,0.9,0.626198±0.021947,0.756780±0.121218,0.623471
"[60, 60]",0.001,6e-05,0.99,0.609882±0.020286,0.760925±0.099714,0.631881
"[80, 80]",0.001,1e-05,0.99,0.607168±0.024401,0.764872±0.099855,0.64909
"[60, 60]",0.001,0.0001,0.99,0.617250±0.020225,0.768260±0.099600,0.639458
"[60, 60]",0.005,1e-05,0.9,0.634921±0.020608,0.768673±0.132431,0.626456
"[60, 60]",0.005,6e-05,0.9,0.640872±0.020601,0.774603±0.132411,0.632483
"[80, 80]",0.001,6e-05,0.99,0.617287±0.024403,0.774996±0.099786,0.659464
"[60, 60]",0.005,0.0001,0.9,0.645628±0.020595,0.779343±0.132394,0.6373
"[80, 80]",0.001,0.0001,0.99,0.625367±0.024406,0.783080±0.099732,0.667748
"[80, 80]",0.0006,1e-05,0.99,0.678494±0.025342,0.811654±0.108429,0.690648
"[100, 100]",0.0006,1e-05,0.99,0.684104±0.018325,0.816450±0.103832,0.70151
"[80, 80]",0.0006,6e-05,0.99,0.686634±0.025338,0.819795±0.108407,0.698978
"[60, 60]",0.0006,1e-05,0.99,0.700826±0.018938,0.823618±0.108541,0.708972
"[100, 100]",0.0006,6e-05,0.99,0.692887±0.018360,0.825236±0.103780,0.710489
"[80, 80]",0.0006,0.0001,0.99,0.693140±0.025336,0.826301±0.108390,0.705635
"[60, 60]",0.0006,6e-05,0.99,0.708044±0.018933,0.830838±0.108497,0.716367
"[100, 100]",0.0006,0.0001,0.99,0.699905±0.018388,0.832256±0.103739,0.717664
"[60, 60]",0.0006,0.0001,0.99,0.713813±0.018929,0.836608±0.108461,0.722277
"[120, 120]",0.001,1e-05,0.9,1.267760±0.029163,1.388926±0.249667,1.133797
"[120, 120]",0.001,6e-05,0.9,1.275035±0.029163,1.396202±0.249661,1.141113
"[120, 120]",0.001,0.0001,0.9,1.280854±0.029164,1.402021±0.249656,1.146964
"[120, 120]",0.0001,1e-05,0.99,1.288557±0.036208,1.413977±0.254901,1.136211
"[120, 120]",0.0001,6e-05,0.99,1.295949±0.036201,1.421370±0.254892,1.143655
"[120, 120]",0.0001,0.0001,0.99,1.301862±0.036196,1.427284±0.254885,1.149609
"[100, 100]",0.001,1e-05,0.9,1.344074±0.036055,1.476380±0.259861,1.226964
"[100, 100]",0.001,6e-05,0.9,1.350425±0.036045,1.482731±0.259854,1.233356
"[100, 100]",0.001,0.0001,0.9,1.355504±0.036038,1.487811±0.259848,1.238468
"[80, 80]",0.001,1e-05,0.9,1.355711±0.039580,1.491164±0.301521,1.167956
"[80, 80]",0.001,6e-05,0.9,1.361257±0.039571,1.496712±0.301512,1.173558
"[80, 80]",0.001,0.0001,0.9,1.365693±0.039565,1.501148±0.301504,1.178038
"[100, 100]",0.0001,1e-05,0.99,1.438407±0.056342,1.587332±0.279462,1.313313
"[100, 100]",0.0001,6e-05,0.99,1.444839±0.056320,1.593766±0.279450,1.319792
"[100, 100]",0.0001,0.0001,0.99,1.449984±0.056301,1.598911±0.279440,1.324975
"[120, 120]",0.005,1e-05,0.5,1.476663±0.042271,1.608042±0.301533,1.286029
"[120, 120]",0.005,6e-05,0.5,1.483844±0.042269,1.615223±0.301528,1.293249
"[120, 120]",0.005,0.0001,0.5,1.489588±0.042268,1.620968±0.301524,1.299024
"[80, 80]",0.0001,1e-05,0.99,1.486597±0.069566,1.642254±0.341287,1.261523
"[80, 80]",0.0001,6e-05,0.99,1.492249±0.069542,1.647909±0.341273,1.267246
"[80, 80]",0.0001,0.0001,0.99,1.496770±0.069522,1.652431±0.341261,1.271824
"[60, 60]",0.001,1e-05,0.9,1.511724±0.074019,1.668117±0.330096,1.31518
"[60, 60]",0.001,6e-05,0.9,1.516470±0.073995,1.672867±0.330090,1.319981
"[60, 60]",0.001,0.0001,0.9,1.520266±0.073975,1.676666±0.330085,1.323822
"[100, 100]",0.005,1e-05,0.5,1.591551±0.053601,1.737281±0.316480,1.430251
"[100, 100]",0.005,6e-05,0.5,1.597795±0.053588,1.743526±0.316475,1.436539
"[100, 100]",0.005,0.0001,0.5,1.602790±0.053577,1.748522±0.316470,1.441569
"[80, 80]",0.005,1e-05,0.5,1.635512±0.057932,1.783258±0.372372,1.395566
"[80, 80]",0.005,6e-05,0.5,1.640928±0.057921,1.788675±0.372365,1.401041
"[80, 80]",0.005,0.0001,0.5,1.645260±0.057911,1.793008±0.372360,1.40542
"[120, 120]",0.0006,1e-05,0.9,1.878977±0.068698,2.037153±0.394203,1.588781
"[120, 120]",0.0006,6e-05,0.9,1.886059±0.068693,2.044236±0.394201,1.595901
"[60, 60]",0.0001,1e-05,0.99,1.853448±0.116394,2.046824±0.456258,1.601137
"[120, 120]",0.0006,0.0001,0.9,1.891724±0.068689,2.049902±0.394199,1.601596
"[60, 60]",0.0001,6e-05,0.99,1.858244±0.116347,2.051623±0.456245,1.606004
"[60, 60]",0.0001,0.0001,0.99,1.862081±0.116310,2.055460±0.456235,1.609898
"[60, 60]",0.005,1e-05,0.5,1.949730±0.107474,2.138014±0.478521,1.678979
"[60, 60]",0.005,6e-05,0.5,1.954316±0.107447,2.142604±0.478518,1.683624
"[60, 60]",0.005,0.0001,0.5,1.957984±0.107425,2.146275±0.478516,1.687339
