Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss
"[50, 50]",0.0005,1e-05,0.9,0.254099±0.011653,0.430097±0.048218
"[40, 40]",0.0005,6e-05,0.9,0.265622±0.007305,0.439799±0.033033
"[40, 40]",0.003,1e-05,0.5,0.271411±0.010408,0.442058±0.047904
"[20, 20]",0.0005,0.0001,0.9,0.291681±0.015266,0.445622±0.061765
"[50, 50]",0.003,1e-05,0.5,0.274408±0.007809,0.446525±0.093047
"[40, 40]",0.001,1e-05,0.5,0.372450±0.012565,0.450324±0.062753
"[30, 30]",0.003,0.0001,0.5,0.286085±0.014862,0.452423±0.047242
"[50, 50]",0.001,1e-05,0.5,0.379062±0.008225,0.453868±0.034351
"[50, 50]",0.003,0.0001,0.5,0.276043±0.008977,0.454825±0.041827
"[30, 30]",0.003,6e-05,0.5,0.283239±0.010952,0.455154±0.098951
"[30, 30]",0.0005,6e-05,0.9,0.280075±0.014382,0.455920±0.047494
"[20, 20]",0.005,1e-05,0.5,0.239086±0.002190,0.457717±0.064454
"[20, 20]",0.003,0.0001,0.5,0.304750±0.011252,0.459479±0.051192
"[40, 40]",0.0005,0.0001,0.9,0.266406±0.012302,0.460584±0.066455
"[30, 30]",0.0005,1e-05,0.9,0.263100±0.014342,0.460907±0.052084
"[30, 30]",0.005,1e-05,0.5,0.217691±0.009945,0.461245±0.049917
"[50, 50]",0.001,6e-05,0.5,0.382058±0.011985,0.461548±0.042833
"[20, 20]",0.005,6e-05,0.5,0.243102±0.006623,0.461751±0.035312
"[30, 30]",0.003,1e-05,0.5,0.281508±0.009996,0.463268±0.051745
"[20, 20]",0.003,6e-05,0.5,0.293953±0.009270,0.463530±0.030929
"[40, 40]",0.001,6e-05,0.5,0.380694±0.015399,0.464285±0.019804
"[20, 20]",0.003,1e-05,0.5,0.303529±0.014766,0.465057±0.060524
"[50, 50]",0.0005,0.0001,0.9,0.256762±0.003871,0.465918±0.053681
"[40, 40]",0.003,6e-05,0.5,0.273513±0.015154,0.466281±0.037782
"[40, 40]",0.0005,1e-05,0.9,0.264941±0.013495,0.466641±0.050547
"[20, 20]",0.0005,1e-05,0.9,0.288708±0.010104,0.466725±0.061470
"[40, 40]",0.003,0.0001,0.5,0.282141±0.010780,0.467193±0.067780
"[30, 30]",0.001,1e-05,0.5,0.383634±0.024570,0.468355±0.066296
"[20, 20]",0.001,6e-05,0.5,0.394401±0.013312,0.469482±0.053064
"[30, 30]",0.0005,0.0001,0.9,0.273399±0.009421,0.469816±0.062219
"[20, 20]",0.005,0.0001,0.5,0.252237±0.012864,0.470779±0.051103
"[40, 40]",0.001,0.0001,0.5,0.375183±0.012442,0.473221±0.052168
"[50, 50]",0.001,0.0001,0.5,0.376187±0.006956,0.473477±0.087409
"[20, 20]",0.001,0.0001,0.5,0.392992±0.015741,0.475154±0.058750
"[50, 50]",0.0005,6e-05,0.9,0.262996±0.011906,0.477240±0.048070
