Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss,Test Loss
"[60, 60]",0.005,1e-05,0.9,0.188115±0.012010,0.305803±0.051784,0.326224
"[60, 60]",0.005,6e-05,0.9,0.191545±0.011968,0.309520±0.052230,0.33321
"[60, 60]",0.005,0.0001,0.9,0.194120±0.011962,0.311986±0.052403,0.336038
"[120, 120]",0.001,1e-05,0.9,0.218078±0.013533,0.314658±0.063257,0.343914
"[120, 120]",0.0001,1e-05,0.99,0.220318±0.013522,0.316257±0.053642,0.35047
"[100, 100]",0.0001,1e-05,0.99,0.224126±0.012164,0.317630±0.058309,0.326032
"[60, 60]",0.0006,1e-05,0.99,0.188758±0.009918,0.318083±0.057328,0.335018
"[60, 60]",0.001,1e-05,0.9,0.233708±0.012001,0.320200±0.059381,0.317854
"[120, 120]",0.005,1e-05,0.5,0.231042±0.015337,0.320290±0.057823,0.354926
"[120, 120]",0.001,6e-05,0.9,0.224236±0.013538,0.320775±0.063271,0.35006
"[120, 120]",0.005,1e-05,0.9,0.176581±0.012389,0.321118±0.059993,0.313022
"[120, 120]",0.0006,1e-05,0.99,0.173216±0.008788,0.321299±0.054248,0.333369
"[100, 100]",0.005,1e-05,0.9,0.179863±0.010143,0.321902±0.063281,0.317566
"[60, 60]",0.001,1e-05,0.99,0.189499±0.011223,0.321975±0.048470,0.348928
"[120, 120]",0.0001,6e-05,0.99,0.226462±0.013526,0.322322±0.053629,0.356676
"[100, 100]",0.0001,6e-05,0.99,0.229283±0.012124,0.322896±0.058261,0.331298
"[60, 60]",0.0006,6e-05,0.99,0.193629±0.009888,0.322931±0.057391,0.340041
"[60, 60]",0.001,6e-05,0.9,0.236945±0.011998,0.323417±0.059458,0.321117
"[80, 80]",0.0006,1e-05,0.99,0.186179±0.006955,0.323591±0.040630,0.342448
"[100, 100]",0.005,1e-05,0.5,0.236730±0.011397,0.324167±0.049936,0.334856
"[100, 100]",0.001,1e-05,0.9,0.226682±0.011173,0.324424±0.054952,0.327206
"[120, 120]",0.001,0.0001,0.9,0.229196±0.013527,0.325756±0.063303,0.355
"[100, 100]",0.0006,1e-05,0.99,0.174888±0.010266,0.325877±0.052720,0.337588
"[60, 60]",0.0006,0.0001,0.99,0.196841±0.009776,0.326003±0.057244,0.344543
"[60, 60]",0.001,0.0001,0.9,0.239520±0.012002,0.326129±0.059378,0.323736
"[120, 120]",0.005,6e-05,0.5,0.237224±0.015338,0.326445±0.057843,0.36112
"[100, 100]",0.0001,0.0001,0.99,0.233434±0.012122,0.327053±0.058313,0.335385
"[60, 60]",0.001,6e-05,0.99,0.195755±0.011215,0.327114±0.049615,0.347894
